,식품명,어플용_식품분류,1회제공량,내용량_단위,에너지(㎉),탄수화물(g),단백질(g),지방(g)
0,기스면,4,1000,g,606.93,89.79,37.82,10.72
1,우동(중식),4,1000,g,648.47,85.37,29.45,21.02
2,쇠머리국밥,6,1000,g,239.21,27.04,15.83,7.53
3,뼈다귀해장국,1,1000,g,714,23.4,74.6,35.7
4,연포탕,2,1000,g,541.64,20.19,94.9,9.03
5,선지해장국,1,1000,g,312,16.7,49.3,5.4
6,울면,4,1000,g,728.86,128.18,37.46,7.37
7,삼선우동,4,1000,g,691.66,105.9,47.94,8.48
8,닭칼국수,4,900,g,663,94.7,42.2,12.8
9,순대국밥,6,900,g,673.09,93.46,28.56,20.56
10,삼계탕,1,900,g,911.39,34.57,96.09,43.19
11,돼지머리국밥,6,900,g,1233.32,143.42,60.34,46.47
12,해물칼국수,4,900,g,628.26,123.9,22.8,4.61
13,굴짬뽕,4,900,g,680.67,115.69,32.87,9.6
14,짬뽕밥,6,900,g,647.7,104.86,28.81,12.56
15,삼선짬뽕,4,900,g,662.37,101.73,39.63,10.77
16,김치우동,4,800,g,500.18,99.14,15.55,4.6
17,열무냉면,4,800,g,525.49,97.52,20.84,5.78
18,생선물회,2,800,g,577.97,82.5,34.3,12.3
19,뼈해장국,1,800,g,206.01,8.46,25.55,7.77
20,깨죽,7,800,g,515.35,79.31,13.66,15.94
21,콩국수,4,800,g,651.57,71.37,31.2,26.81
22,열무김치국수,4,800,g,431,69.6,15,10.2
23,짬뽕,4,800,g,464.46,66.06,22.3,12.34
24,장어탕,2,800,g,536.94,29.4,34.53,31.25
25,우동(일식),4,800,g,1264.19,243.83,14.27,25.75
26,순대국,1,800,g,540.3,17.26,43.52,33.02
27,소고기버섯죽,7,800,g,578.28,109.03,18.75,7.47
28,게살죽,7,800,g,564.83,107.35,17.9,7.09
29,참치죽,7,800,g,659.6,104.57,24.19,16.06
30,콩나물국밥,6,780,g,403.26,85.22,11.34,1.89
31,짬뽕라면,4,750,g,689,92,21.3,26.3
32,잡탕밥,6,750,g,777.44,104.94,44.12,20.13
33,닭개장,1,700,g,142.98,9.88,19.17,2.97
34,우동(일식),4,700,g,421.51,74.2,13.39,7.91
35,물냉면,4,700,g,383.98,72.15,13.75,4.49
36,사골만두국,1,700,g,606.93,62.6,26.19,27.97
37,잔치국수,4,700,g,310.2,56.34,13.53,3.41
38,만둣국,7,700,g,434.05,47.83,21.43,17.44
39,소고기국밥,6,700,g,330.53,42.6,21.8,8.1
40,맑은감자국,3,700,g,221,34.6,8.3,5.5
41,오징어물회,2,700,g,339.79,22.81,43.3,8.37
42,잣죽,7,700,g,874.48,155.28,19.18,19.63
43,삼선자장면,4,700,g,803.9,126.53,33.64,18.14
44,떡국,7,700,g,588.01,114.57,24.01,3.74
45,바지락칼국수,4,700,g,576.77,111.81,24.04,3.71
46,떡만둣국,7,700,g,624.92,110.71,20.06,11.32
47,칼국수,4,700,g,540.65,104.28,23.09,3.46
48,해물덮밥,6,700,g,771.93,100.45,42.04,22.44
49,갈비탕,1,670,g,363.24,2.68,57,13.83
50,굴국밥,2,650,g,683,88.4,42.4,17.8
51,김치라면,4,650,g,552,86.2,13.8,16.9
52,수제비,4,650,g,378.28,72.04,14.99,3.35
53,소고기미역국,1,650,g,151,7.7,18.1,5.3
54,간자장,4,650,g,824.54,134.22,22.33,22.03
55,자장면,4,650,g,796.5,133.63,19.77,20.32
56,닭곰탕,1,650,g,330.4,13.01,48.8,9.24
57,홍합미역국,2,650,g,167,11.6,19.7,4.7
58,송이덮밥,6,600,g,581.81,95.6,18.21,14.06
59,떡만두국,7,600,g,666.99,92.83,21.18,23.44
60,대구지리탕,2,600,g,262.02,9.9,41.6,6.2
61,광어매운탕,2,600,g,419.79,9.13,58.42,16.62
62,순댓국,1,600,g,509.46,89.71,14.1,10.47
63,짜장면,4,600,g,529.18,86.22,16.15,13.3
64,치즈라면,4,600,g,595,80,16.8,23
65,꽃게탕,2,600,g,101.1,8.61,11.13,2.46
66,선짓국(선지해장국),1,600,g,173.84,7.39,23.18,5.73
67,부대찌개,1,600,g,737.25,61.59,35.16,38.91
68,둘깨칼국수,4,600,g,457.88,59.8,17.6,16.5
69,쌀국수,4,600,g,320.32,55.1,15.6,4.2
70,냉김치말이국수,4,600,g,302.53,52,12.9,4.8
71,황태해장국,2,600,g,181.7,5.7,24.5,6.8
72,메기매운탕,2,600,g,400,48.6,28.6,10.2
73,오리탕,1,600,g,728.09,36.46,56.99,39.37
74,소곱창전골,1,600,g,529,29.2,41.6,27.3
75,고등어찌개,2,600,g,601.62,25.6,48.9,33.7
76,조기매운탕,2,600,g,384.38,17.3,35.1,19.4
77,대구매운탕,2,600,g,361.75,16.84,57.36,7.21
78,해물탕,2,600,g,267.81,16.6,39.8,4.7
79,전복탕,2,600,g,196.85,15.8,26.8,3
80,해물매운탕,2,600,g,211.37,15.08,29.07,3.86
81,막국수,4,600,g,799.33,143.37,34.81,9.63
82,소고기샤브샤브,1,600,g,263.75,14.7,29.1,9.8
83,우거지해장국,3,600,g,154.38,13.5,11.9,5.9
84,아구탕,2,600,g,246.07,12.8,37.8,4.9
85,우럭매운탕,2,600,g,406.82,11.24,52.15,17.03
86,쇠고기 샤브샤브,1,600,g,259.59,10.77,32.27,9.72
87,낙지탕,2,600,g,187.8,10.4,29.4,3.2
88,복지리탕,2,600,g,232.05,10.3,41.7,2.7
89,내장탕,1,600,g,423.97,10.08,34.9,27.12
90,대구 매운탕,2,600,g,134.18,1.14,26.96,2.42
91,곰탕,1,600,g,145.15,0.66,20.57,6.69
92,달걀라면,4,550,g,596.11,95.29,14.36,17.5
93,떡라면,4,550,g,525.49,84.01,11.21,16.07
94,라면,4,550,g,450.91,75.08,9.48,12.52
95,류산슬덮밥,6,550,g,574.99,73.95,26.96,19.04
96,잡채밥,6,550,g,825.15,141.85,22.11,18.81
97,쫄면,4,550,g,706.96,127.91,17.68,13.84
98,바지락조개국,2,550,g,157,10.1,22,3.1
99,감자탕,1,530,g,375.69,12.03,33.43,21.54
100,알탕,2,520,g,203.13,9.06,33.11,3.83
101,토마토소스스파게티,2,500,g,642.58,93.2,24.35,19.15
102,미트볼 토마토 스파게티,2,500,g,898.82,88.08,36.7,44.41
103,해물토마토소스스파게티,2,500,g,584.44,87.24,27.97,13.73
104,해물크림소스스파게티,2,500,g,917.57,86.97,30.39,49.79
105,간짜장,4,500,g,625.08,75.67,25.59,24.45
106,비빔냉면,4,500,g,499.16,66.74,28.33,13.21
107,꼬리곰탕,1,500,g,135.9,4.23,22.51,3.22
108,도가니탕,1,500,g,198.17,4.1,41.76,1.63
109,해물찜,2,500,g,400.08,35.4,42.6,9.8
110,오징어국,2,500,g,91.91,3.63,11.1,3.67
111,동태찜,2,500,g,394.32,25.8,50.9,9.7
112,대구찜,2,500,g,376.42,24.7,51.7,7.9
113,우렁된장국,2,500,g,245,19.2,24.6,7.7
114,두부전골,3,500,g,315.16,17.1,25.6,16.1
115,두부고추장찌개,3,500,g,261.81,15.88,20.04,13.13
116,굴무국,2,500,g,123.09,14.63,12.04,1.82
117,자장밥,6,500,g,741.66,120.06,15.24,22.28
118,회냉면,4,500,g,741.26,111.04,29.04,20.11
119,회덮밥,6,500,g,683.02,103.3,30.21,16.55
120,참치덮밥,6,500,g,679.1,102.93,29.2,16.73
121,비빔국수,4,500,g,512.46,102.36,15.06,4.75
122,새우탕,2,500,g,163.1,10,25.84,2.19
123,설렁탕,1,500,g,118.37,1.8,21.3,2.88
124,카레라이스,6,480,g,518.4,99.53,14.94,6.73
125,제육덮밥,6,470,g,949.76,79.22,44.3,50.63
126,짜장밥,6,470,g,572.62,73.17,20.08,22.18
127,비빔밥,6,450,g,637.54,84.76,30.89,19.44
128,쟁반국수,4,450,g,535.45,57.66,30.05,20.51
129,돼지등갈비찜,1,450,g,961.04,57.4,72.1,49.2
130,무된장국,3,450,g,104,14.7,6.1,2.4
131,시래기된장국,3,450,g,99,11,6.7,3.1
132,김치국,3,450,g,89,10.5,5.4,2.8
133,육개장,1,440,g,130.33,6.54,16.21,4.37
134,모듬회덮밥,6,410,g,593.54,72.8,37.32,17.01
135,닭고기덮밥,6,410,g,510.58,60.77,46.75,8.94
136,장어덮밥,6,400,g,716.54,97.35,30.09,22.98
137,해물볶음밥,6,400,g,705.22,90.46,25.1,27
138,미역된장국,2,400,g,96.16,9.1,6.25,3.86
139,오일소스스파게티,2,400,g,646.74,89.42,19.56,23.43
140,삼선볶음밥,6,400,g,686.11,85.75,26.24,26.46
141,팥빙수,8,400,g,401.79,82.39,14.29,1.67
142,오므라이스,6,400,g,692.71,82.14,25.98,28.91
143,냉이된장국,3,400,g,86.47,8.81,6.85,2.65
144,무시래기된장국,3,400,g,61.11,8.11,5.22,0.86
145,오리고기죽,7,400,g,618.71,79.8,30,19.94
146,순대볶음,1,400,g,582,76.7,20.7,21.3
147,크림소스스파게티,2,400,g,837.57,73.76,21.79,50.59
148,소고기무국,1,400,g,123,7.8,14.2,4
149,새우미역국,2,400,g,63.22,7.31,4.35,1.84
150,팥죽,7,400,g,324.17,66.63,12.69,0.76
151,아욱된장국,3,400,g,81.83,6.34,9.1,2.23
152,쑥된장국,3,400,g,60.64,6.08,4.88,1.87
153,쇠고기죽,7,400,g,244.09,50.44,8.62,0.87
154,애호박된장국,3,400,g,122.91,5.62,13.35,5.23
155,동태국,2,400,g,66.87,5.61,9.66,0.64
156,닭갈비,1,400,g,595.61,44.9,45.9,25.8
157,김치콩나물국,3,400,g,48.33,4.61,3.27,1.86
158,쇠고기배춧국,1,400,g,62.29,4.57,7.34,1.63
159,쇠고기무국,1,400,g,61.53,4.38,5.3,2.54
160,전복죽,7,400,g,317.19,38.49,7.27,14.9
161,해물볶음,2,400,g,419.06,32.2,38.2,15.3
162,채소죽,7,400,g,173.76,30.47,6.75,2.76
163,시금치된장국,3,400,g,37.98,3.91,4.07,0.67
164,미역국,2,400,g,46.36,3.49,2.58,2.45
165,얼갈이배춧국,3,400,g,36.23,3.41,2,1.62
166,북엇국,2,400,g,111.03,3.36,15.56,3.93
167,우거지된장국,3,400,g,78.61,3.29,11.08,2.35
168,쇠고기미역국,1,400,g,52.03,3.28,7.42,1.03
169,돌나물물김치,7,400,g,19.78,3,1.25,0.31
170,닭죽,7,400,g,177.46,28.57,10.7,2.27
171,호박죽,7,400,g,197.52,26.3,7.7,6.84
172,달걀국,7,400,g,52.37,2.74,3.73,2.94
173,근대된장국,3,400,g,38.84,2.71,3.49,1.56
174,콩나물국,3,400,g,24.66,2.44,2.95,0.35
175,대합미역국,2,400,g,44.84,2.24,4.93,1.8
176,아구찜,2,400,g,310.87,17.47,48.3,5.31
177,버섯찌개,3,400,g,167.56,15.4,14.7,5.2
178,감자된장국,3,400,g,98.19,14.78,4.34,2.41
179,감잣국,3,400,g,82.47,14.67,3.59,1.05
180,흑임자죽,7,400,g,245.96,14.56,4.41,18.9
181,콩비지찌개,3,400,g,275.73,14.27,26.95,12.32
182,메밀묵국,7,400,g,87.38,14.26,3.99,1.59
183,김치찌개,3,400,g,243.03,11.93,15.07,15
184,사골국,1,400,g,220.99,11.24,22.25,9.67
185,충무김밥,6,400,g,583.93,109.16,23.42,5.96
186,불고기덮밥,6,400,g,728.18,107.84,26.39,21.25
187,해물된장국,2,400,g,111.58,10.73,8.38,3.9
188,김칫국,3,400,g,90.78,10.52,5.36,3.03
189,콩나물된장국,3,400,g,123.17,10.46,10.31,4.45
190,토란국,3,400,g,62.09,10.42,4.01,0.49
191,배추된장국,3,400,g,79.08,10.33,5.85,1.6
192,조갯국,2,400,g,62.72,0.99,6.67,3.57
193,돌솥비빔밥,6,380,g,558.1,93.77,20.5,11.22
194,생선모듬초밥,6,380,g,607.45,101.52,36.71,6.06
195,새우볶음밥,6,370,g,635.75,84.54,23.33,22.7
196,오징어덮밥,6,360,g,484.59,79,25.85,7.24
197,하이라이스,6,360,g,401.93,76.84,14.47,4.08
198,우거지곰탕,3,350,g,88.55,9.11,8.29,2.1
199,낙지덮밥,6,350,g,525.24,84.42,20.58,11.69
200,버섯샤브샤브,3,350,g,104.64,5.49,13.57,3.16
201,메밀국수,4,350,g,221.87,42.21,10.98,1.01
202,순두부달걀탕,7,350,g,102.39,3.29,6.23,7.14
203,홍합무국,2,350,g,87.05,3,2.76,7.11
204,미역냉국,7,350,g,128.81,26.28,0.66,2.34
205,두부애호박된장찌개,3,350,g,189.41,20.07,17.61,4.3
206,미역오이냉국,7,350,g,21.8,2.98,1.31,0.52
207,오이냉국,7,350,g,38.17,2.67,1.47,2.4
208,재첩국,2,350,g,81.91,15.9,2.33,1
209,어묵국,2,350,g,106.95,13.41,5.2,3.61
210,달래된장찌개,3,350,g,122.7,13.32,11.12,2.77
211,영양돌솥밥,6,350,g,643.16,126.22,12.02,10.03
212,볶음밥,6,350,g,640.48,118.88,19.47,9.67
213,추어탕,2,350,g,188.33,10.74,11.33,11.12
214,냉이된장찌개,3,350,g,67,10.18,4.09,1.1
215,호박잎된장국,3,350,g,23.1,1.88,1.41,1.11
216,치킨데리야끼,1,340,g,707.64,51.71,56.23,30.65
217,닭구이,1,340,g,872.3,26.52,89.1,45.54
218,알밥,6,330,g,422.13,51.99,15.61,16.86
219,김치볶음밥,6,330,g,550.64,51.93,17.56,30.3
220,콩나물밥,6,320,g,392.17,71.66,14.98,5.07
221,돈까스김밥,6,320,g,646.18,101.24,18.45,18.6
222,새우튀김롤,6,300,g,606.5,96.28,14.47,18.17
223,표고버섯볶음밥,6,300,g,551.73,95.37,10.09,14.43
224,햄 김치찌개,1,300,g,93.41,9.52,4.42,4.18
225,캘리포니아롤,6,300,g,487.64,89.23,12.33,9.05
226,참치김치찌개,2,300,g,154.06,8.7,10.76,8.47
227,생선초밥(광어),6,300,g,453.78,77.55,27.07,3.92
228,생선초밥(모듬),6,300,g,461.97,76.43,25.42,6.06
229,볶음우동,4,300,g,385.41,74.36,8.41,6.04
230,연어롤,6,300,g,510.19,74.32,18.57,15.4
231,새우젓두부찌개,3,300,g,166,7.2,16.2,8.1
232,돼지고기 수육,1,300,g,936.89,7.05,59.65,74.46
233,육회비빔밥,6,300,g,442.29,68.76,19.16,10.07
234,돼지고기찌개,1,300,g,143.02,6.77,18.76,4.54
235,쇠고기수육,1,300,g,498.92,6.11,85.29,14.81
236,순대 ,1,300,g,542.42,58.36,19.56,25.64
237,닭튀김,1,300,g,903,48.8,65.2,49.7
238,쇠갈비구이,1,300,g,722.95,4.76,77.73,43.66
239,미숫가루,8,300,g,211.16,31.25,6.24,6.8
240,조개된장찌개,2,300,g,68.12,3.53,8.63,2.16
241,한방오리백숙,1,300,g,469.53,3.36,68.79,20.1
242,소양념갈비구이,1,300,g,989.15,26.2,60.1,71.6
243,닭볶음탕,1,300,g,332.04,25.57,35.74,9.65
244,닭볶음,1,300,g,558.83,23.8,41.93,32.88
245,돼지갈비찜,1,300,g,581.39,22.33,39.86,36.96
246,가자미조림,2,300,g,297.98,21.5,37.1,7.1
247,쇠갈비찜,1,300,g,256.01,20.85,21.75,9.51
248,콩나물된장찌개,3,300,g,146.27,18.94,7.69,4.42
249,굴무생채,2,300,g,149.16,17.76,11.04,3.77
250,버섯전골,3,300,g,233.68,14.34,15.43,12.73
251,조기조림,2,300,g,384,12.8,41.1,18.8
252,햄김치찌개,1,300,g,189,12.7,11.1,10.4
253,호박찌개,3,300,g,95,12.2,5.6,2.6
254,꽁치찌개,2,300,g,355,12.2,24,23.3
255,낙지전골,2,300,g,153.42,11.16,19.5,3.42
256,쇠고기사태찜,1,300,g,328.77,11,36.3,15.51
257,간장양념닭다리구이,1,300,g,740.27,10.56,68.9,46.94
258,쇠고기된장찌개,1,300,g,163.93,10.51,17.12,5.93
259,돼지갈비구이,1,300,g,881.09,10.43,84.72,55.61
260,닭찜,1,300,g,320.01,1.8,37.1,18.27
261,오리백숙,1,300,g,335.72,1.51,31.78,22.5
262,쇠고기전골,1,300,g,187.56,1.37,23.66,9.71
263,고추김밥,6,290,g,490.73,79.8,14.14,12.78
264,찰밥,6,280,g,429.7,93.97,12.3,0.51
265,채소김밥,6,280,g,442.09,74.61,12.89,10.23
266,어묵잡채,2,280,g,414.12,73.15,6.55,10.59
267,두부쇠고기고추장찌개,1,280,g,162.34,18.85,12.77,3.98
268,호박고추장찌개,3,280,g,115.04,16.69,5.83,2.77
269,꽁치김치찌개,2,270,g,241.19,9.56,19.27,13.98
270,두부된장찌개,3,270,g,110.23,6.9,8.78,5.28
271,치즈김밥,6,270,g,476.98,59.67,16.86,18.99
272,김치김밥,6,270,g,351.43,51.76,11.61,10.88
273,김치전골,3,270,g,197.79,15.34,8.43,11.41
274,채소볶음밥,6,260,g,474.03,74.73,12.26,14.01
275,날치알김밥,6,260,g,461.27,74.52,15.86,11.08
276,계란볶음밥,6,260,g,584.71,62.99,17.22,29.32
277,쇠고기볶음밥,6,260,g,456.99,56.58,19.74,16.86
278,어묵김치찌개,2,260,g,98.44,16.4,4.74,1.54
279,오곡밥,6,250,g,388.82,82.32,11.95,1.3
280,문어초밥,6,250,g,392.23,81.78,14.61,0.74
281,장어초밥,6,250,g,486.26,80.68,16.52,10.83
282,농어초밥,6,250,g,396.74,78.75,17.43,1.34
283,새우초밥,6,250,g,387.67,78.42,16.8,0.75
284,한치초밥,6,250,g,374.18,77.92,13.71,0.85
285,포테이토피자,5,250,g,628,71.6,28,25.5
286,연어초밥,6,250,g,447.32,71.04,18.88,9.74
287,쇠고기김밥,6,250,g,447.51,64.44,16.16,13.9
288,소고기김밥,6,250,g,400.61,62.52,15.98,9.63
289,샐러드김밥,6,250,g,405.95,61.45,9.62,13.52
290,참치김밥,6,250,g,435.04,50.65,17.5,18.05
291,치즈돈가스,1,250,g,755.37,41.76,42.02,46.69
292,갈치찌개,2,250,g,94.75,4.88,13.17,2.51
293,참치샌드위치,5,250,g,555,36.5,23.3,35.1
294,참치 샌드위치,5,250,g,505.3,34.45,26.34,29.13
295,닭고추장조림,1,250,g,379.87,33.13,22.79,17.36
296,월남쌈,8,250,g,293.84,30.63,14.86,12.43
297,임연수구이,2,250,g,494,3.5,53.8,29.4
298,가자미식해,7,250,g,335.62,29.1,27.73,12.03
299,청포묵무침,7,250,g,149,22.7,2.9,5.2
300,오리불고기,1,250,g,361.52,22.62,16.87,22.62
301,회무침,2,250,g,203.95,21.5,20.22,4.12
302,족발,1,250,g,582.68,2.32,65.09,34.78
303,도미구이,2,250,g,397,2.1,61.1,16.5
304,동태조림,2,250,g,276,17.4,40.8,4.7
305,간장게장,7,250,g,155.4,15.09,17.56,2.76
306,두부김치,3,250,g,288.21,14.08,19.47,17.11
307,소갈비찜,1,250,g,494.6,13.14,49.86,26.96
308,훈제오리,1,250,g,797.14,12.08,43.06,64.07
309,찐빵,8,250,g,532.43,119.43,12.98,0.31
310,오징어찌개,2,250,g,85.47,11.92,8.24,0.54
311,제육볶음,1,250,g,487.98,11.82,30.37,35.47
312,홍어찜,2,250,g,202.67,1.22,47.12,1.03
313,탕국,2,250,g,92.15,0.24,13.18,4.27
314,병어구이,2,250,g,488,0.2,54.6,30.8
315,계적,7,250,g,488.08,0,57.72,30.43
316,햄치즈샌드위치,5,240,g,433.09,45.79,21.15,18.37
317,오징어채소무침,2,240,g,149.09,18.23,14.04,2.23
318,닭고기냉채,7,240,g,215.62,11.99,31.4,4.67
319,현미밥,6,230,g,396.31,89.48,7.14,1.09
320,죽순쇠고기볶음,1,230,g,276.31,8.69,31.46,12.86
321,참치볶음밥,6,230,g,412.97,75.68,10.63,7.52
322,닭가슴살샌드위치,5,230,g,551.65,48.21,28.02,27.41
323,김밥,6,230,g,322.56,45.95,11.14,10.47
324,골뱅이국수무침,2,230,g,250.52,43.49,11.53,3.38
325,돼지곱창순대볶음,1,230,g,299.11,42.59,16.64,6.91
326,마늘장아찌,7,230,g,147.23,4.61,6.15,11.58
327,물만두,5,230,g,448.16,35.9,18.53,25.6
328,콩나물잡채,3,230,g,153.12,28.86,4.43,2.22
329,돼지고기채소볶음,1,230,g,388.96,19.84,38.12,17.46
330,쇠고기버섯볶음,1,230,g,330.36,15.91,26.66,17.79
331,쇠고기채소볶음,1,230,g,288.81,14.81,29.44,12.42
332,가오리회무침,2,230,g,186.62,14.6,26.07,2.66
333,돼지고기김치볶음,1,230,g,371.22,13.63,27.16,23.12
334,유산슬,8,220,g,189.43,9.01,16.58,9.68
335,순대,1,220,g,410.53,78.6,6.04,8
336,팔보채,8,220,g,196.98,7.53,27.33,6.39
337,군만두,5,220,g,514.51,56.26,15.46,25.29
338,만두,5,220,g,397.27,39.79,19.05,17.99
339,고기만두,5,220,g,350.25,38.28,27.23,9.8
340,김치만두,5,220,g,334.15,37.44,22.53,10.47
341,양장피,7,220,g,291.79,24.1,16.05,14.58
342,쇠고기고추장볶음,1,220,g,434.08,23.55,31.59,23.73
343,닭발구이,1,220,g,431.43,21.34,39.92,20.71
344,햄채소볶음,1,220,g,401.83,21.13,23.04,25.02
345,BLT샌드위치,5,220,g,423.85,18.56,20.9,29.56
346,떡강정,8,200,g,498.31,95.78,7.58,9.43
347,고구마맛탕,3,200,g,491,94.6,3.3,11
348,해물콩나물찜,2,200,g,111.2,9.93,13.33,2.02
349,오리고기구이,1,200,g,586.08,9.77,48.12,39.39
350,쇠고기완자전,1,200,g,323.34,9.35,37.46,15.12
351,흑미밥,6,200,g,348.7,80.14,6.53,0.22
352,된장찌개,3,200,g,91.91,8.87,6.76,3.26
353,쇠불고기,1,200,g,339.22,8.51,32.82,19.32
354,돼지불고기,1,200,g,449.57,8.1,29.71,33.15
355,소시지튀김,1,200,g,707.98,8.01,28.13,62.6
356,보리밥,6,200,g,321.63,73.54,5.8,0.48
357,기장밥,6,200,g,331.91,73.53,6.87,1.14
358,치즈피자,5,200,g,553,71.2,31.4,15.8
359,페퍼로니피자,5,200,g,532,70.3,29.4,14.8
360,수수밥,6,200,g,321.89,70.04,6.31,1.83
361,달걀찜(우유),8,200,g,209.74,7.59,16.45,12.62
362,고등어석쇠구이,2,200,g,679.62,7.57,46.75,51.37
363,소고기산적,7,200,g,453.07,7.33,48.41,25.57
364,차조밥,6,200,g,313.24,69.71,5.67,1.3
365,쇠고기주먹밥,6,200,g,355.16,69.45,9.52,4.36
366,검정콩밥,6,200,g,330.61,68.59,9.06,2.23
367,찐옥수수,3,200,g,370.54,68.39,13.36,4.84
368,찐고구마,3,200,g,277.31,64.94,3.34,0.47
369,팥밥,6,200,g,286,64.51,6.56,0.19
370,피자빵,8,200,g,595.65,63.52,17.7,30.09
371,완두콩밥,6,200,g,276.32,62.49,5.89,0.31
372,불고기피자,5,200,g,505,61.2,27.4,16.7
373,유부초밥,6,200,g,388.54,59.63,11.56,11.53
374,잡곡밥,6,200,g,292.6,58.65,10.59,1.74
375,무밥,6,200,g,266.19,56.34,7.33,1.28
376,콤비네이션피자,5,200,g,548.05,51.07,21.35,28.71
377,참치마요삼각김밥,6,200,g,398.7,50.89,11.86,16.41
378,치킨버거,5,200,g,475.56,50.17,24.86,19.49
379,잡채,8,200,g,291.15,48.52,9.41,6.6
380,생선까스,2,200,g,653.44,46.56,24.33,41.1
381,어묵조림,2,200,g,317.02,46.32,11.65,9.46
382,불고기버거,5,200,g,499.77,45.35,27.76,23.04
383,닭강정,1,200,g,450.09,45.04,23.68,19.47
384,치킨까스,5,200,g,593,44.02,27.91,33.92
385,햄버거,5,200,g,527.67,43.34,25.69,27.95
386,간장양념치킨,5,200,g,543.73,42.48,20.46,32.44
387,양념치킨,5,200,g,552,42.3,35.5,26.8
388,라볶이,5,200,g,268.47,40.28,5.66,9.41
389,떡갈비,1,200,g,403.4,4.92,42.76,23.63
390,동치미,7,200,g,27.21,4.55,0.58,0.74
391,순두부김치찌개,3,200,g,69.65,4.34,5.95,3.17
392,꽁치구이,2,200,g,604.84,4.27,49.36,43.37
393,맛살전,8,200,g,329.53,39.37,14.95,12.47
394,등심돈가스,1,200,g,623.83,38.49,32.99,37.54
395,해물완자전,2,200,g,444.86,36.07,22.92,23.21
